# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
84	stress	Consider'd every Creature, which of all	1	3	1	2	1	4	1	1	1	2	
84	juncture	Consider'd every Creature, which of all	1	1	3	1	2	1	5	2	2	4	
84	comment	Consider'd every Creature, which of all											
85	syllables	Most opportune might serve his Wiles, and found	Most	op	por	tune	might	serve	his	Wiles,	and	found	
85	stress	Most opportune might serve his Wiles, and found	1	2	1	3	1	3	1	4	1	3	
85	juncture	Most opportune might serve his Wiles, and found	2	1	1	4	2	3	2	5	2	3	
85	comment	Most opportune might serve his Wiles, and found											
86	syllables	The Serpent suttlest Beast of all the Field.	The	Ser	pent	sutt	lest	Beast	of	all	the	Field.	
86	stress	The Serpent suttlest Beast of all the Field.	1	4	1	3	1	3	1	1	1	4	
86	juncture	The Serpent suttlest Beast of all the Field.	2	1	4	1	3	3	2	2	2	5	
86	comment	The Serpent suttlest Beast of all the Field.											
87	syllables	Him after long debate, irresolute	Him	af	ter	long	de	bate,	ir	re	so	lute	
87	stress	Him after long debate, irresolute	1	2	1	3	1	4	1	2	1	4	
87	juncture	Him after long debate, irresolute	4	1	2	3	1	5	1	1	1	3	
87	comment	Him after long debate, irresolute											
88	syllables	Of thoughts revolv'd, his final sentence chose	Of	thoughts	re	volv'd,	his	fi	nal	sen	tence	chose	
88	stress	Of thoughts revolv'd, his final sentence chose	1	3	1	4	1	3	1	3	1	3	
88	juncture	Of thoughts revolv'd, his final sentence chose	2	3	1	5	2	1	3	1	4	3	
88	comment	Of thoughts revolv'd, his final sentence chose											
89	syllables	Fit Vessel, fittest Imp of fraud, in whom	Fit	Ves	sel,	fit	test	Imp	of	fraud,	in	whom	
89	stress	Fit Vessel, fittest Imp of fraud, in whom	3	4	1	3	1	3	1	4	1	1	
89	juncture	Fit Vessel, fittest Imp of fraud, in whom	3	1	5	1	3	3	2	5	2	2	
89	comment	Fit Vessel, fittest Imp of fraud, in whom											
90	syllables	To enter, and his dark suggestions hide	To	en	ter,	and	his	dark	sug	ges	tions	hide	
90	stress	To enter, and his dark suggestions hide	1	4	1	1	1	3	1	4	1	3	
90	juncture	To enter, and his dark suggestions hide	2	1	5	2	2	3	1	1	4	3	
90	comment	To enter, and his dark suggestions hide											
91	syllables	From sharpest sight: for in the wilie Snake,	From	shar	pest	sight:	for	in	the	wi	lie	Snake,	
91	stress	From sharpest sight: for in the wilie Snake,	1	3	1	4	1	1	1	3	1	4	
91	juncture	From sharpest sight: for in the wilie Snake,	2	1	3	5	2	2	2	1	3	5	
91	comment	From sharpest sight: for in the wilie Snake,											
92	syllables	Whatever sleights none would suspicious mark,	What	ev	er	sleights	none	would	sus	pi	cious	mark,	
92	stress	Whatever sleights none would suspicious mark,	1	3	1	4	3	1	1	3	1	4	
92	juncture	Whatever sleights none would suspicious mark,	1	1	3	4	4	2	1	1	4	5	
92	comment	Whatever sleights none would suspicious mark,											
93	syllables	As from his wit and native suttletie	As	from	his	wit	and	na	tive	sut	tle	tie	
93	stress	As from his wit and native suttletie	1	1	1	3	1	3	1	4	1	1	
93	juncture	As from his wit and native suttletie	2	2	2	4	2	1	3	1	1	4	
93	comment	As from his wit and native suttletie											
94	syllables	Proceeding, which in other Beasts observ'd	Pro	cee	ding,	which	in	o	ther	Beasts	ob	serv'd	
94	stress	Proceeding, which in other Beasts observ'd	1	4	1	1	1	4	1	2	1	3	
94	juncture	Proceeding, which in other Beasts observ'd	1	1	5	2	2	1	3	4	1	4	
94	comment	Proceeding, which in other Beasts observ'd											
95	syllables	Doubt might beget of Diabolic pow'r	Doubt	might	be	get	of	Di	a	bo	lic	pow'r	
95	stress	Doubt might beget of Diabolic pow'r	3	1	1	3	1	3	1	2	1	4	
95	juncture	Doubt might beget of Diabolic pow'r	4	2	1	3	2	1	1	1	3	3	
95	comment	Doubt might beget of Diabolic pow'r	RR										
96	syllables	Active within beyond the sense of brute.	Ac	tive	wi	thin	be	yond	the	sense	of	brute.	
96	stress	Active within beyond the sense of brute.	3	1	1	3	1	2	1	3	1	4	
96	juncture	Active within beyond the sense of brute.	1	3	1	4	1	2	2	3	2	5	
96	comment	Active within beyond the sense of brute.											
97	syllables	Thus he resolv'd, but first from inward griefe	Thus	he	re	solv'd,	but	first	from	in	ward	griefe	
97	stress	Thus he resolv'd, but first from inward griefe	2	1	1	4	1	3	1	3	1	4	
97	juncture	Thus he resolv'd, but first from inward griefe	3	2	1	5	2	3	2	1	3	4	
97	comment	Thus he resolv'd, but first from inward griefe											
98	syllables	His bursting passion into plaints thus pour'd:	His	burs	ting	pas	sion	in	to	plaints	thus	pour'd:	
98	stress	His bursting passion into plaints thus pour'd:	1	3	1	4	1	2	1	3	1	4	
98	juncture	His bursting passion into plaints thus pour'd:	2	1	3	1	3	1	2	4	2	5	
98	comment	His bursting passion into plaints thus pour'd:	into in Milton: 44 WS; 32 SW; 62 postpausal.  All but 2 of the SW are in RR contexts.  Shakespeare is similar.										
99	syllables	O Earth, how like to Heav'n, if not preferr'd	O	Earth,	how	like	to	Heav'n,	if	not	pre	ferr'd	
99	stress	O Earth, how like to Heav'n, if not preferr'd	1	4	1	2	1	4	1	1	1	3	
99	juncture	O Earth, how like to Heav'n, if not preferr'd	2	5	2	3	2	5	2	2	1	3	
99	comment	O Earth, how like to Heav'n, if not preferr'd											
100	syllables	More justly, Seat worthier of Gods, as built	More	just	ly,	Seat	wor	thi er	of	Gods,	as	built	
100	stress	More justly, Seat worthier of Gods, as built	1	4	1	3	3	1	1	4	1	4	
100	juncture	More justly, Seat worthier of Gods, as built	2	1	5	3	1	3	2	5	2	3	
100	comment	More justly, Seat worthier of Gods, as built											
101	syllables	With second thoughts, reforming what was old!	With	se	cond	thoughts,	re	for	ming	what	was	old!	
101	stress	With second thoughts, reforming what was old!	1	3	1	4	1	3	1	1	1	4	
101	juncture	With second thoughts, reforming what was old!	2	1	3	5	1	1	3	2	2	5	
101	comment	With second thoughts, reforming what was old!											
102	syllables	For what God after better worse would build?	For	what	God	af	ter	bet	ter	worse	would	build?	
102	stress	For what God after better worse would build?	1	2	3	2	1	4	1	4	1	3	
102	juncture	For what God after better worse would build?	2	2	4	1	2	1	4	4	2	5	
102	comment	For what God after better worse would build?											
103	syllables	Terrestrial Heav'n, danc't round by other Heav'ns	Ter	res	tri al	Heav'n,	danc't	round	by	o	ther	Heav'ns	
103	stress	Terrestrial Heav'n, danc't round by other Heav'ns	1	3	1	4	3	3	1	4	1	3	
103	juncture	Terrestrial Heav'n, danc't round by other Heav'ns	1	1	3	5	3	4	2	1	3	3	
103	comment	Terrestrial Heav'n, danc't round by other Heav'ns	contrast										
104	syllables	That shine, yet bear thir bright officious Lamps,	That	shine,	yet	bear	thir	bright	of	fi	cious	Lamps,	
104	stress	That shine, yet bear thir bright officious Lamps,	1	4	1	3	1	3	1	3	1	4	
104	juncture	That shine, yet bear thir bright officious Lamps,	2	5	2	3	2	3	1	1	3	5	
104	comment	That shine, yet bear thir bright officious Lamps,											
105	syllables	Light above Light, for thee alone, as seems,	Light	a	bove	Light,	for	thee	a	lone,	as	seems,	
105	stress	Light above Light, for thee alone, as seems,	3	1	2	4	1	2	1	4	1	4	
105	juncture	Light above Light, for thee alone, as seems,	4	1	2	5	2	3	1	5	2	5	
105	comment	Light above Light, for thee alone, as seems,											
106	syllables	In thee concentring all thir precious beams	In	thee	con	cen	tring	all	thir	pre	cious	beams	
106	stress	In thee concentring all thir precious beams	1	3	1	3	1	2	1	3	1	3	
106	juncture	In thee concentring all thir precious beams	2	4	1	1	3	2	2	1	3	3	
106	comment	In thee concentring all thir precious beams											
107	syllables	Of sacred influence: As God in Heav'n	Of	sa	cred	in	flu	ence:	As	God	in	Heav'n	
107	stress	Of sacred influence: As God in Heav'n	1	3	1	4	1	1	1	3	1	4	
107	juncture	Of sacred influence: As God in Heav'n	2	1	3	1	1	5	2	4	2	4	
107	comment	Of sacred influence: As God in Heav'n											
108	syllables	Is Center, yet extends to all, so thou	Is	Cen	ter,	yet	ex	tends	to	all,	so	thou	
108	stress	Is Center, yet extends to all, so thou	1	4	1	2	1	3	1	4	1	3	
108	juncture	Is Center, yet extends to all, so thou	2	1	5	2	1	3	2	5	2	2	
108	comment	Is Center, yet extends to all, so thou											
109	syllables	Centring receav'st from all those Orbs; in thee,	Cen	tring	re	ceav'st	from	all	those	Orbs;	in	thee,	
109	stress	Centring receav'st from all those Orbs; in thee,	3	1	1	3	1	2	1	4	1	4	
109	juncture	Centring receav'st from all those Orbs; in thee,	1	4	1	3	2	2	2	5	2	5	
109	comment	Centring receav'st from all those Orbs; in thee,											
110	syllables	Not in themselves, all thir known vertue appeers	Not	in	them	selves,	all	thir	known	ver	tue ap	peers	
110	stress	Not in themselves, all thir known vertue appeers	2	1	1	4	1	1	3	4	1	3	
110	juncture	Not in themselves, all thir known vertue appeers	2	2	1	5	2	2	3	1	1	4	
110	comment	Not in themselves, all thir known vertue appeers											
111	syllables	Productive in Herb, Plant, and nobler birth	Pro	duc	tive	in	Herb,	Plant,	and	no	bler	birth	
111	stress	Productive in Herb, Plant, and nobler birth	1	3	1	1	4	4	1	3	1	3	
111	juncture	Productive in Herb, Plant, and nobler birth	1	1	3	2	5	5	2	1	3	3	
111	comment	Productive in Herb, Plant, and nobler birth											
112	syllables	Of Creatures animate with gradual life	Of	Crea	tures	a	ni	mate	with	gra	dual	life	
112	stress	Of Creatures animate with gradual life	1	3	1	3	1	1	1	3	1	4	
112	juncture	Of Creatures animate with gradual life	2	1	3	1	1	3	2	1	3	4	
112	comment	Of Creatures animate with gradual life											
113	syllables	Of Growth, Sense, Reason, all summ'd up in Man.	Of	Growth,	Sense,	Rea	son,	all	summ'd	up	in	Man.	
113	stress	Of Growth, Sense, Reason, all summ'd up in Man.	1	4	4	4	1	1	2	3	1	4	
113	juncture	Of Growth, Sense, Reason, all summ'd up in Man.	2	5	5	1	5	2	2	3	2	5	
113	comment	Of Growth, Sense, Reason, all summ'd up in Man.	Particle verb										
114	syllables	With what delight could I have walkt thee round,	With	what	de	light	could	I	have	walkt	thee	round,	
114	stress	With what delight could I have walkt thee round,	1	2	1	4	1	1	1	3	1	4	
114	juncture	With what delight could I have walkt thee round,	2	2	1	4	2	2	2	2	3	5	
114	comment	With what delight could I have walkt thee round,											
115	syllables	If I could joy in aught, sweet interchange	If	I	could	joy	in	aught,	sweet	in	ter	change	
115	stress	If I could joy in aught, sweet interchange	1	1	1	3	1	4	3	4	1	2	
115	juncture	If I could joy in aught, sweet interchange	2	2	2	3	2	5	3	1	1	3	
115	comment	If I could joy in aught, sweet interchange											
116	syllables	Of Hill, and Vallie, Rivers, Woods and Plaines,	Of	Hill,	and	Val	lie,	Ri	vers,	Woods	and	Plaines,	
116	stress	Of Hill, and Vallie, Rivers, Woods and Plaines,	1	4	1	4	1	4	1	3	1	4	
116	juncture	Of Hill, and Vallie, Rivers, Woods and Plaines,	2	5	2	1	5	1	5	4	2	5	
116	comment	Of Hill, and Vallie, Rivers, Woods and Plaines,											
117	syllables	Now Land, now Sea, and Shores with Forrest crownd,	Now	Land,	now	Sea,	and	Shores	with	For	rest	crownd,	
117	stress	Now Land, now Sea, and Shores with Forrest crownd,	3	4	3	4	1	3	1	3	1	4	
117	juncture	Now Land, now Sea, and Shores with Forrest crownd,	3	5	3	5	2	3	2	1	4	5	
117	comment	Now Land, now Sea, and Shores with Forrest crownd,											
118	syllables	Rocks, Dens, and Caves; but I in none of these	Rocks,	Dens,	and	Caves;	but	I	in	none	of	these	
118	stress	Rocks, Dens, and Caves; but I in none of these	4	4	1	4	1	1	1	3	1	1	
118	juncture	Rocks, Dens, and Caves; but I in none of these	5	5	2	5	2	2	2	3	2	4	
118	comment	Rocks, Dens, and Caves; but I in none of these											
119	syllables	Find place or refuge; and the more I see	Find	place	or	re	fuge;	and	the	more	I	see	
119	stress	Find place or refuge; and the more I see	3	3	1	4	1	1	1	2	1	3	
119	juncture	Find place or refuge; and the more I see	3	4	2	1	5	2	2	2	2	3	
119	comment	Find place or refuge; and the more I see											
120	syllables	Pleasures about me, so much more I feel	Plea	sures	a	bout	me,	so	much	more	I	feel	
120	stress	Pleasures about me, so much more I feel	3	1	1	2	1	1	1	3	1	3	
120	juncture	Pleasures about me, so much more I feel	1	4	1	2	5	2	2	4	2	3	
120	comment	Pleasures about me, so much more I feel											
121	syllables	Torment within me, as from the hateful siege	Tor	ment	wi	thin	me, as	from	the	hate	ful	siege	
121	stress	Torment within me, as from the hateful siege	3	1	1	4	1	1	1	3	1	3	
121	juncture	Torment within me, as from the hateful siege	1	4	1	2	2	2	2	1	3	3	
121	comment	Torment within me, as from the hateful siege	torment (N?V) in Milton: as noun: 8 SW, 2 postpausal; as verb: 7 WS, 1 postpausal										
122	syllables	Of contraries; all good to me becomes	Of	con	tra	ries;	all	good	to	me	be	comes	
122	stress	Of contraries; all good to me becomes	1	4	1	1	1	3	1	1	1	3	
122	juncture	Of contraries; all good to me becomes	2	1	1	5	2	4	2	4	1	3	
122	comment	Of contraries; all good to me becomes											
123	syllables	Bane, and in Heav'n much worse would be my state.	Bane,	and	in	Heav'n	much	worse	would	be	my	state.	
123	stress	Bane, and in Heav'n much worse would be my state.	4	1	1	3	1	4	1	1	1	3	
123	juncture	Bane, and in Heav'n much worse would be my state.	5	2	2	4	2	4	2	2	2	5	
123	comment	Bane, and in Heav'n much worse would be my state.											
124	syllables	But neither here seek I, no nor in Heav'n	But	nei	ther	here	seek	I,	no	nor	in	Heav'n	
124	stress	But neither here seek I, no nor in Heav'n	1	2	1	3	3	1	1	1	1	3	
124	juncture	But neither here seek I, no nor in Heav'n	2	1	3	4	2	5	3	2	2	4	
124	comment	But neither here seek I, no nor in Heav'n											
125	syllables	To dwell, unless by maistring Heav'ns Supreame;	To	dwell,	un	less	by	mais	tring	Heav'ns	Su	preame;	
125	stress	To dwell, unless by maistring Heav'ns Supreame;	1	4	1	2	1	3	1	3	1	4	
125	juncture	To dwell, unless by maistring Heav'ns Supreame;	2	5	1	3	2	1	3	4	1	5	
125	comment	To dwell, unless by maistring Heav'ns Supreame;											
126	syllables	Nor hope to be my self less miserable	Nor	hope	to	be	my	self	less	mi	se	ra	ble
126	stress	Nor hope to be my self less miserable	1	3	1	1	1	4	3	4	1	2	1
126	juncture	Nor hope to be my self less miserable	2	3	2	2	2	4	3	1	1	1	4
126	comment	Nor hope to be my self less miserable	miserable in Milton: 9 that must be 3121; 7 in final position; 1 that seems like it might not be (milton PL)										
127	syllables	By what I seek, but others to make such	By	what	I	seek,	but	o	thers	to	make	such	
127	stress	By what I seek, but others to make such	1	1	1	4	1	3	1	1	3	1	
127	juncture	By what I seek, but others to make such	2	2	2	5	2	1	4	2	3	2	
127	comment	By what I seek, but others to make such											
128	syllables	As I, though thereby worse to me redound:	As	I,	though	there	by	worse	to	me	re	dound:	
128	stress	As I, though thereby worse to me redound:	1	4	1	3	1	3	1	1	1	4	
128	juncture	As I, though thereby worse to me redound:	2	5	2	1	3	3	2	3	1	5	
128	comment	As I, though thereby worse to me redound:											
129	syllables	For onely in destroying I find ease	For	one	ly	in	des	tro	ying	I	find	ease	
129	stress	For onely in destroying I find ease	1	3	1	1	1	3	1	1	3	4	
129	juncture	For onely in destroying I find ease	2	1	3	2	1	1	4	2	3	3	
129	comment	For onely in destroying I find ease											
130	syllables	To my relentless thoughts; and him destroyd,	To	my	re	lent	less	thoughts;	and	him	des	troyd,	
130	stress	To my relentless thoughts; and him destroyd,	1	1	1	3	1	4	1	1	1	4	
130	juncture	To my relentless thoughts; and him destroyd,	2	2	1	1	3	5	2	3	1	5	
130	comment	To my relentless thoughts; and him destroyd,											
131	syllables	Or won to what may work his utter loss,	Or	won	to	what	may	work	his	ut	ter	loss,	
131	stress	Or won to what may work his utter loss,	1	3	1	1	1	3	1	3	1	4	
131	juncture	Or won to what may work his utter loss,	2	3	2	2	2	3	2	1	3	5	
131	comment	Or won to what may work his utter loss,											
132	syllables	For whom all this was made, all this will soon	For	whom	all	this	was	made,	all	this	will	soon	
132	stress	For whom all this was made, all this will soon	1	1	1	3	1	4	1	3	1	3	
132	juncture	For whom all this was made, all this will soon	2	2	2	4	2	5	2	4	2	3	
132	comment	For whom all this was made, all this will soon											
133	syllables	Follow, as to him linkt in weal or woe,	Fol	low,	as	to	him	linkt	in	weal	or	woe,	
133	stress	Follow, as to him linkt in weal or woe,	4	1	1	1	1	3	1	3	1	4	
133	juncture	Follow, as to him linkt in weal or woe,	1	5	2	2	3	3	2	4	2	5	
133	comment	Follow, as to him linkt in weal or woe,											
134	syllables	In wo then: that destruction wide may range:	In	wo	then:	that	des	truc	tion	wide	may	range:	
134	stress	In wo then: that destruction wide may range:	1	4	1	1	1	3	1	3	1	4	
134	juncture	In wo then: that destruction wide may range:	2	4	5	2	1	1	4	3	2	5	
134	comment	In wo then: that destruction wide may range:											
135	syllables	To mee shall be the glorie sole among	To	mee	shall	be	the	glo	rie	sole	a	mong	
135	stress	To mee shall be the glorie sole among	1	3	1	1	1	3	1	4	1	2	
135	juncture	To mee shall be the glorie sole among	2	4	2	2	2	1	3	4	1	2	
135	comment	To mee shall be the glorie sole among											
136	syllables	The infernal Powers, in one day to have marr'd	The in	fer	nal	Po wers,	in	one	day	to	have	marr'd	
136	stress	The infernal Powers, in one day to have marr'd	1	3	1	4	1	3	4	1	1	3	
136	juncture	The infernal Powers, in one day to have marr'd	1	1	3	5	2	3	4	2	2	3	
136	comment	The infernal Powers, in one day to have marr'd											
137	syllables	What he Almightie styl'd, six Nights and Days	What	he	Al	migh	tie	styl'd,	six	Nights	and	Days	
137	stress	What he Almightie styl'd, six Nights and Days	1	2	1	3	1	4	3	4	1	4	
137	juncture	What he Almightie styl'd, six Nights and Days	2	3	1	1	4	5	3	4	2	4	
137	comment	What he Almightie styl'd, six Nights and Days											
138	syllables	Continu'd making, and who knows how long	Con	ti	nu'd	ma	king,	and	who	knows	how	long	
138	stress	Continu'd making, and who knows how long	1	3	1	4	1	1	1	3	1	3	
138	juncture	Continu'd making, and who knows how long	1	1	3	1	5	2	2	3	2	3	
138	comment	Continu'd making, and who knows how long											
139	syllables	Before had bin contriving, though perhaps	Be	fore	had	bin	con	tri	ving,	though	per	haps	
139	stress	Before had bin contriving, though perhaps	1	4	1	1	1	4	1	1	1	3	
139	juncture	Before had bin contriving, though perhaps	1	4	2	2	1	1	5	2	1	3	
139	comment	Before had bin contriving, though perhaps											
140	syllables	Not longer then since I in one Night freed	Not	lon	ger	then	since	I	in	one	Night	freed	
