# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: shakespeare
# title: sonnets
# coder: bruce hayes
1	syllables	From fairest creatures we desire increase,	From	fai	rest	crea	tures	we	de	sire	in	crease,	
86	stress	Lifts up his burning head, each under eye	2	3	1	3	1	4	1	2	1	4	
86	juncture	Lifts up his burning head, each under eye	3	4	2	1	3	5	4	1	2	3	
86	comment	Lifts up his burning head, each under eye											
87	syllables	Doth homage to his new-appearing sight,	Doth	ho	mage	to	his	new-	ap	pea	ring	sight,	
87	stress	Doth homage to his new-appearing sight,	1	3	1	1	1	3	1	2	1	4	
87	juncture	Doth homage to his new-appearing sight,	2	1	4	2	2	2	1	1	3	5	
87	comment	Doth homage to his new-appearing sight,											
88	syllables	Serving with looks his sacred majesty;	Ser	ving	with	looks	his	sa	cred	ma	jes	ty;	
88	stress	Serving with looks his sacred majesty;	3	1	1	4	1	3	1	4	1	1	
88	juncture	Serving with looks his sacred majesty;	1	3	2	4	2	1	3	1	1	5	
88	comment	Serving with looks his sacred majesty;											
89	syllables	And having climb'd the steep-up heavenly hill,	And	ha	ving	climb'd	the	steep-	up	hea ven	ly	hill,	
89	stress	And having climb'd the steep-up heavenly hill,	1	2	1	3	1	3	2	3	1	4	
89	juncture	And having climb'd the steep-up heavenly hill,	2	1	2	3	2	2	3	1	3	5	
89	comment	And having climb'd the steep-up heavenly hill,											
90	syllables	Resembling strong youth in his middle age,	Re	sem	bling	strong	youth	in	his	midd	le	age,	
90	stress	Resembling strong youth in his middle age,	1	3	1	3	4	1	1	3	1	4	
90	juncture	Resembling strong youth in his middle age,	1	1	3	3	4	2	2	1	3	5	
90	comment	Resembling strong youth in his middle age,											
91	syllables	Yet mortal looks adore his beauty still,	Yet	mor	tal	looks	a	dore	his	beau	ty	still,	
91	stress	Yet mortal looks adore his beauty still,	1	3	1	4	1	3	1	3	1	4	
91	juncture	Yet mortal looks adore his beauty still,	2	1	3	4	1	3	2	1	4	5	
91	comment	Yet mortal looks adore his beauty still,											
92	syllables	Attending on his golden pilgrimage:	At	ten	ding	on	his	gol	den	pil	gri	mage:	
92	stress	Attending on his golden pilgrimage:	1	3	1	1	1	3	1	4	1	1	
92	juncture	Attending on his golden pilgrimage:	1	1	3	2	2	1	3	1	1	5	
92	comment	Attending on his golden pilgrimage:											
93	syllables	But when from highmost pitch, with weary car,	But	when	from	high	most	pitch,	with	wea	ry	car,	
93	stress	But when from highmost pitch, with weary car,	1	1	1	3	1	4	1	3	1	4	
93	juncture	But when from highmost pitch, with weary car,	2	2	2	1	3	4	2	1	3	5	
93	comment	But when from highmost pitch, with weary car,											
94	syllables	Like feeble age, he reeleth from the day,	Like	fee	ble	age,	he	ree	leth	from	the	day,	
94	stress	Like feeble age, he reeleth from the day,	1	3	1	4	1	3	1	1	1	4	
94	juncture	Like feeble age, he reeleth from the day,	2	1	3	4	2	1	3	2	2	5	
94	comment	Like feeble age, he reeleth from the day,											
95	syllables	The eyes, 'fore duteous, now converted are	The	eyes,	'fore	du	teous,	now	con	ver	ted	are	
95	stress	The eyes, 'fore duteous, now converted are	1	4	1	4	1	3	1	4	1	1	
95	juncture	The eyes, 'fore duteous, now converted are	2	5	2	1	5	3	1	1	3	3	
95	comment	The eyes, 'fore duteous, now converted are											
96	syllables	From his low tract, and look another way:	From	his	low	tract,	and	look	a	no	ther	way:	
96	stress	From his low tract, and look another way:	1	1	3	4	1	3	1	3	1	4	
96	juncture	From his low tract, and look another way:	2	2	3	4	2	3	1	1	3	5	
96	comment	From his low tract, and look another way:											
97	syllables	So thou, thyself outgoing in thy noon:	So	thou,	thy	self	out-	go	ing	in	thy	noon:	
97	stress	So thou, thyself outgoing in thy noon:	1	4	1	3	2	3	1	1	1	4	
97	juncture	So thou, thyself outgoing in thy noon:	2	5	1	3	2	1	3	2	2	5	
97	comment	So thou, thyself outgoing in thy noon:											
98	syllables	Unlook'd, on diest unless thou get a son.	Un	look'd,	on	diest	un	less	thou	get	a	son.	
98	stress	Unlook'd, on diest unless thou get a son.	1	4	1	3	1	2	1	3	1	4	
98	juncture	Unlook'd, on diest unless thou get a son.	1	3	4	3	1	2	2	3	2	5	
98	comment	Unlook'd, on diest unless thou get a son.											
99	syllables	Music to hear, why hear'st thou music sadly?	Mu	sic	to	hear,	why	hear'st	thou	mu	sic	sad	ly?
99	stress	Music to hear, why hear'st thou music sadly?	4	1	1	3	1	3	1	3	1	4	1
99	juncture	Music to hear, why hear'st thou music sadly?	1	4	2	5	2	2	3	1	4	1	5
99	comment	Music to hear, why hear'st thou music sadly?	poem initial										
100	syllables	Sweets with sweets war not, joy delights in joy:	Sweets	with	sweets	war	not,	joy	de	lights	in	joy:	
100	stress	Sweets with sweets war not, joy delights in joy:	3	1	3	4	1	3	1	3	1	4	
100	juncture	Sweets with sweets war not, joy delights in joy:	4	2	3	3	5	4	1	3	2	5	
100	comment	Sweets with sweets war not, joy delights in joy:											
101	syllables	Why lov'st thou that which thou receiv'st not gladly,	Why	lov'st	thou	that	which	thou	re	ceiv'st	not	glad	ly,
101	stress	Why lov'st thou that which thou receiv'st not gladly,	1	3	1	2	1	1	1	3	1	4	1
101	juncture	Why lov'st thou that which thou receiv'st not gladly,	2	2	3	2	2	2	1	2	3	1	5
101	comment	Why lov'st thou that which thou receiv'st not gladly,											
102	syllables	Or else receiv'st with pleasure thine annoy?	Or	else	re	ceiv'st	with	plea	sure	thine	an	noy?	
102	stress	Or else receiv'st with pleasure thine annoy?	1	3	1	3	1	3	1	1	1	4	
102	juncture	Or else receiv'st with pleasure thine annoy?	2	3	1	3	2	1	4	2	1	5	
102	comment	Or else receiv'st with pleasure thine annoy?											
103	syllables	If the true concord of well-tuned sounds,	If	the	TRUE	con	cord	of	well-	tu	ned	sounds,	
103	stress	If the true concord of well-tuned sounds,	1	1	3	4	1	1	3	2	1	4	
103	juncture	If the true concord of well-tuned sounds,	2	2	3	1	4	2	2	1	3	5	
103	comment	If the true concord of well-tuned sounds,	RR										
104	syllables	By unions married, do offend thine ear,	By	u	nions	mar	ried,	do	of	fend	thine	ear,	
104	stress	By unions married, do offend thine ear,	1	3	1	4	1	1	1	3	1	4	
104	juncture	By unions married, do offend thine ear,	2	1	4	1	4	2	1	3	2	5	
104	comment	By unions married, do offend thine ear,											
105	syllables	They do but sweetly chide thee, who confounds	They	do	but	sweet	ly	chide	thee,	who	con	founds	
105	stress	They do but sweetly chide thee, who confounds	1	1	1	3	1	4	1	1	1	3	
105	juncture	They do but sweetly chide thee, who confounds	2	2	2	1	3	2	5	2	1	3	
105	comment	They do but sweetly chide thee, who confounds											
106	syllables	In singleness the parts that thou shouldst bear.	In	sin	gle	ness	the	parts	that	thou	shouldst	bear.	
106	stress	In singleness the parts that thou shouldst bear.	1	4	1	1	1	3	1	1	1	4	
106	juncture	In singleness the parts that thou shouldst bear.	2	1	1	4	2	3	2	2	2	5	
106	comment	In singleness the parts that thou shouldst bear.											
107	syllables	Mark how one string, sweet husband to another,	Mark	how	one	string,	sweet	hus	band	to	a	no	ther,
107	stress	Mark how one string, sweet husband to another,	3	1	1	4	3	4	1	1	1	4	1
107	juncture	Mark how one string, sweet husband to another,	3	2	2	5	3	1	4	2	1	1	5
107	comment	Mark how one string, sweet husband to another,											
108	syllables	Strikes each in each by mutual ordering;	Strikes	each	in	each	by	mu	tual	or	de	ring;	
108	stress	Strikes each in each by mutual ordering;	2	3	1	4	1	3	1	4	1	1	
108	juncture	Strikes each in each by mutual ordering;	3	4	2	4	2	1	3	1	1	5	
108	comment	Strikes each in each by mutual ordering;											
109	syllables	Resembling sire and child and happy mother,	Re	sem	bling	sire	and	child	and	hap	py	mo	ther,
109	stress	Resembling sire and child and happy mother,	1	3	1	3	1	3	1	3	1	4	1
109	juncture	Resembling sire and child and happy mother,	1	1	3	4	2	4	2	1	3	1	5
109	comment	Resembling sire and child and happy mother,											
110	syllables	Who, all in one, one pleasing note do sing:	Who,	all	in	one,	one	plea	sing	note	do	sing:	
110	stress	Who, all in one, one pleasing note do sing:	1	2	1	4	1	3	1	4	1	3	
110	juncture	Who, all in one, one pleasing note do sing:	2	2	2	5	2	1	3	4	2	5	
110	comment	Who, all in one, one pleasing note do sing:											
111	syllables	Whose speechless song being many, seeming one,	Whose	speech	less	song	be ing	ma	ny,	see	ming	one,	
111	stress	Whose speechless song being many, seeming one,	1	3	1	4	2	4	1	3	1	4	
111	juncture	Whose speechless song being many, seeming one,	2	1	3	4	2	1	5	1	3	5	
111	comment	Whose speechless song being many, seeming one,											
112	syllables	Sings this to thee: 'Thou single wilt prove none.'	Sings	this	to	thee:	'Thou	sin	gle	wilt	prove	none'.	
112	stress	Sings this to thee: 'Thou single wilt prove none.'	3	4	1	2	1	3	1	1	3	4	
112	juncture	Sings this to thee: 'Thou single wilt prove none.'	3	4	2	5	2	1	4	2	3	5	
112	comment	Sings this to thee: 'Thou single wilt prove none.'											
113	syllables	Is it for fear to wet a widow's eye,	Is	it	for	fear	to	wet	a	wi	dow's	eye,	
113	stress	Is it for fear to wet a widow's eye,	1	1	1	3	1	3	1	3	1	4	
113	juncture	Is it for fear to wet a widow's eye,	2	2	2	3	2	3	2	1	4	5	
113	comment	Is it for fear to wet a widow's eye,	poem initial										
114	syllables	That thou consum'st thy self in single life?	That	thou	con	sum'st	thy	self	in	sin	gle	life?	
114	stress	That thou consum'st thy self in single life?	1	1	1	3	1	3	1	3	1	4	
114	juncture	That thou consum'st thy self in single life?	2	2	1	3	2	4	2	1	3	5	
114	comment	That thou consum'st thy self in single life?											
115	syllables	Ah! if thou issueless shalt hap to die,	Ah!	if	thou	is	sue	less	shalt	hap	to	die,	
115	stress	Ah! if thou issueless shalt hap to die,	4	1	1	3	1	1	1	3	1	4	
115	juncture	Ah! if thou issueless shalt hap to die,	5	2	2	1	1	4	2	3	2	5	
115	comment	Ah! if thou issueless shalt hap to die,											
116	syllables	The world will wail thee like a makeless wife;	The	world	will	wail	thee	like	a	make	less	wife;	
116	stress	The world will wail thee like a makeless wife;	1	4	1	3	1	1	1	3	1	4	
116	juncture	The world will wail thee like a makeless wife;	2	4	2	2	3	2	2	1	3	5	
116	comment	The world will wail thee like a makeless wife;											
117	syllables	The world will be thy widow and still weep	The	world	will	be	thy	wi	dow	and	still	weep	
117	stress	The world will be thy widow and still weep	1	3	1	1	1	4	1	1	3	4	
117	juncture	The world will be thy widow and still weep	2	4	2	2	2	1	4	2	3	3	
117	comment	The world will be thy widow and still weep											
118	syllables	That thou no form of thee hast left behind,	That	thou	no	form	of	thee	hast	left	be	hind,	
118	stress	That thou no form of thee hast left behind,	1	1	1	3	1	2	1	3	1	4	
118	juncture	That thou no form of thee hast left behind,	2	2	2	3	2	4	2	3	1	5	
118	comment	That thou no form of thee hast left behind,											
119	syllables	When every private widow well may keep	When	e	very	pri	vate	wi	dow	well	may	keep	
119	stress	When every private widow well may keep	1	2	1	3	1	4	1	3	1	4	
119	juncture	When every private widow well may keep	2	1	2	1	3	1	4	3	2	5	
119	comment	When every private widow well may keep											
120	syllables	By children's eyes, her husband's shape in mind:	By	chil	dren's	eyes,	her	hus	band's	shape	in	mind:	
120	stress	By children's eyes, her husband's shape in mind:	1	3	1	4	1	3	1	3	1	4	
120	juncture	By children's eyes, her husband's shape in mind:	2	1	4	5	2	1	4	4	2	5	
120	comment	By children's eyes, her husband's shape in mind:											
121	syllables	Look! what an unthrift in the world doth spend	Look!	what	an	unth	rift	in	the	world	doth	spend	
121	stress	Look! what an unthrift in the world doth spend	4	1	1	3	1	1	1	3	1	4	
121	juncture	Look! what an unthrift in the world doth spend	3	2	2	1	4	2	2	4	2	4	
121	comment	Look! what an unthrift in the world doth spend											
122	syllables	Shifts but his place, for still the world enjoys it;	Shifts	but	his	place,	for	still	the	world	en	joys	it;
122	stress	Shifts but his place, for still the world enjoys it;	3	1	1	4	1	3	1	3	1	4	1
122	juncture	Shifts but his place, for still the world enjoys it;	3	2	2	5	2	3	2	4	1	2	5
122	comment	Shifts but his place, for still the world enjoys it;											
123	syllables	But beauty's waste hath in the world an end,	But	beau	ty's	waste	hath	in	the	world	an	end,	
123	stress	But beauty's waste hath in the world an end,	1	3	1	4	1	1	1	3	1	4	
123	juncture	But beauty's waste hath in the world an end,	2	1	4	4	2	2	2	4	2	5	
123	comment	But beauty's waste hath in the world an end,											
124	syllables	And kept unused the user so destroys it.	And	kept	un	us ed	the	u	ser	so	des	troys	it.
124	stress	And kept unused the user so destroys it.	1	3	1	4	1	3	1	1	1	4	1
124	juncture	And kept unused the user so destroys it.	2	3	1	4	2	1	4	2	1	2	5
124	comment	And kept unused the user so destroys it.											
125	syllables	No love toward others in that bosom sits	No	love	toward	o	thers	in	that	bo	som	sits	
125	stress	No love toward others in that bosom sits	1	3	1	4	1	1	1	3	1	4	
125	juncture	No love toward others in that bosom sits	2	3	2	1	4	2	2	1	4	4	
125	comment	No love toward others in that bosom sits											
126	syllables	That on himself such murd'rous shame commits.	That	on	him-	self	such	murd'	rous	shame	com	mits.	
126	stress	That on himself such murd'rous shame commits.	1	1	1	3	1	3	1	4	1	3	
126	juncture	That on himself such murd'rous shame commits.	2	2	2	4	2	1	3	4	1	5	
126	comment	That on himself such murd'rous shame commits.											
127	syllables	For shame! deny that thou bear'st love to any,	For	shame!	de	ny	that	thou	bear'st	love	to	a	ny,
127	stress	For shame! deny that thou bear'st love to any,	1	4	1	3	1	1	2	3	1	4	1
127	juncture	For shame! deny that thou bear'st love to any,	2	5	1	3	2	2	3	4	2	1	4
127	comment	For shame! deny that thou bear'st love to any,	poem initial										
128	syllables	Who for thy self art so unprovident.	Who	for	thy	self	art	so	un	pro	vi	dent.	
128	stress	Who for thy self art so unprovident.	1	1	1	3	1	1	1	4	1	1	
128	juncture	Who for thy self art so unprovident.	2	2	2	4	2	2	1	1	1	5	
128	comment	Who for thy self art so unprovident.											
129	syllables	Grant, if thou wilt, thou art belov'd of many,	Grant,	if	thou	wilt,	thou	art	be	lov'd	of	ma	ny,
129	stress	Grant, if thou wilt, thou art belov'd of many,	4	1	1	4	1	1	1	3	1	4	1
129	juncture	Grant, if thou wilt, thou art belov'd of many,	4	2	2	5	2	2	1	3	2	1	5
129	comment	Grant, if thou wilt, thou art belov'd of many,											
130	syllables	But that thou none lov'st is most evident:	But	that	thou	none	lov'st	is	most	e	vi	dent:	
130	stress	But that thou none lov'st is most evident:	1	1	1	3	3	1	1	4	1	1	
130	juncture	But that thou none lov'st is most evident:	2	2	2	4	4	2	2	1	1	5	
130	comment	But that thou none lov'st is most evident:											
131	syllables	For thou art so possess'd with murderous hate,	For	thou	art	so	pos	sess'd	with	mur	derous	hate,	
131	stress	For thou art so possess'd with murderous hate,	1	1	1	1	1	3	1	3	1	4	
131	juncture	For thou art so possess'd with murderous hate,	2	2	2	2	1	3	2	1	3	5	
131	comment	For thou art so possess'd with murderous hate,											
132	syllables	That 'gainst thy self thou stick'st not to conspire,	That	'gainst	thy	self	thou	stick'st	not	to	cons	pire,	
132	stress	That 'gainst thy self thou stick'st not to conspire,	1	1	1	4	1	3	1	1	1	4	
132	juncture	That 'gainst thy self thou stick'st not to conspire,	2	2	2	4	2	2	3	2	1	5	
132	comment	That 'gainst thy self thou stick'st not to conspire,											
133	syllables	Seeking that beauteous roof to ruinate	See	king	that	beau	teous	roof	to	ru	i	nate	
133	stress	Seeking that beauteous roof to ruinate	3	1	1	3	1	4	1	4	1	1	
133	juncture	Seeking that beauteous roof to ruinate	1	3	2	1	3	4	2	1	1	4	
133	comment	Seeking that beauteous roof to ruinate											
134	syllables	Which to repair should be thy chief desire.	Which	to	re	pair	should	be	thy	chief	de	sire.	
134	stress	Which to repair should be thy chief desire.	1	1	1	3	1	1	1	3	1	4	
134	juncture	Which to repair should be thy chief desire.	2	2	1	4	2	2	2	3	1	5	
134	comment	Which to repair should be thy chief desire.											
135	syllables	O! change thy thought, that I may change my mind:	O!	change	thy	thought,	that	I	may	change	my	mind:	
135	stress	O! change thy thought, that I may change my mind:	1	3	1	4	1	1	1	3	1	4	
135	juncture	O! change thy thought, that I may change my mind:	2	3	2	5	2	2	2	3	2	5	
135	comment	O! change thy thought, that I may change my mind:											
136	syllables	Shall hate be fairer lodg'd than gentle love?	Shall	hate	be	fai	rer	lodg'd	than	gent	le	love?	
136	stress	Shall hate be fairer lodg'd than gentle love?	1	3	1	3	1	4	1	3	1	4	
136	juncture	Shall hate be fairer lodg'd than gentle love?	2	3	2	1	3	4	2	1	3	5	
136	comment	Shall hate be fairer lodg'd than gentle love?											
137	syllables	Be, as thy presence is, gracious and kind,	Be,	as	thy	pre	sence	is,	gra	ci ous	and	kind,	
137	stress	Be, as thy presence is, gracious and kind,	1	1	1	4	1	1	3	1	1	4	
